SPEC;LONG;LAT
Hypopyrrhus pyrohypogaster;-75.121717;5.465184
Hypopyrrhus pyrohypogaster;-76.074705;5.79877
Hypopyrrhus pyrohypogaster;-75.619385;6.046707
Hypopyrrhus pyrohypogaster;-75.619385;6.046707
Hypopyrrhus pyrohypogaster;-75.506044;6.232373
Hypopyrrhus pyrohypogaster;-75.12022;6.988775
Hypopyrrhus pyrohypogaster;-76.073345;5.836262
Hypopyrrhus pyrohypogaster;-75.596965;6.269566
Hypopyrrhus pyrohypogaster;-76.109057;1.60986
Hypopyrrhus pyrohypogaster;-75.128996;6.279254
Hypopyrrhus pyrohypogaster;-75.571046;6.138528
Hypopyrrhus pyrohypogaster;-75.600513;6.126986
Hypopyrrhus pyrohypogaster;-75.542786;6.116254
Hypopyrrhus pyrohypogaster;-76.002098;5.125525
Hypopyrrhus pyrohypogaster;-75.821206;5.595199
Hypopyrrhus pyrohypogaster;-75.569086;6.137857
Hypopyrrhus pyrohypogaster;-75.112168;6.984203
Hypopyrrhus pyrohypogaster;-75.462484;5.977166
Hypopyrrhus pyrohypogaster;-75.110899;5.47592
Hypopyrrhus pyrohypogaster;-75.571046;6.138528
Hypopyrrhus pyrohypogaster;-75.797477;5.583359
Hypopyrrhus pyrohypogaster;-75.072;5.483833
Hypopyrrhus pyrohypogaster;-75.046345;5.455788
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.797477;5.583359
Hypopyrrhus pyrohypogaster;-75.600762;6.125562
Hypopyrrhus pyrohypogaster;-75.600762;6.125562
Hypopyrrhus pyrohypogaster;-75.777443;5.580479
Hypopyrrhus pyrohypogaster;-75.542786;6.116254
Hypopyrrhus pyrohypogaster;-75.615879;6.047645
Hypopyrrhus pyrohypogaster;-75.598193;6.029955
Hypopyrrhus pyrohypogaster;-75.615879;6.047645
Hypopyrrhus pyrohypogaster;-75.619385;6.046707
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.459745;2.277775
Hypopyrrhus pyrohypogaster;-75.16892;5.374674
Hypopyrrhus pyrohypogaster;-75.55;6.106
Hypopyrrhus pyrohypogaster;-75.569086;6.137857
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.405666;7.043445
Hypopyrrhus pyrohypogaster;-76.230429;1.670222
Hypopyrrhus pyrohypogaster;-75.596255;6.027059
Hypopyrrhus pyrohypogaster;-75.569086;6.137857
Hypopyrrhus pyrohypogaster;-75.601648;6.12959
Hypopyrrhus pyrohypogaster;-75.336907;6.446531
Hypopyrrhus pyrohypogaster;-75.428309;6.122121
Hypopyrrhus pyrohypogaster;-76.109057;1.60986
Hypopyrrhus pyrohypogaster;-75.601648;6.12959
Hypopyrrhus pyrohypogaster;-75.672619;6.087653
Hypopyrrhus pyrohypogaster;-75.42717;5.94471
Hypopyrrhus pyrohypogaster;-75.542786;6.116254
Hypopyrrhus pyrohypogaster;-75.602095;6.132
Hypopyrrhus pyrohypogaster;-76.109057;1.60986
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-76.009211;5.021606
Hypopyrrhus pyrohypogaster;-75.54777;6.173353
Hypopyrrhus pyrohypogaster;-75.506657;6.058234
Hypopyrrhus pyrohypogaster;-75.818268;5.594501
Hypopyrrhus pyrohypogaster;-76.185429;1.659482
Hypopyrrhus pyrohypogaster;-76.102176;1.615351
Hypopyrrhus pyrohypogaster;-75.632645;6.207498
Hypopyrrhus pyrohypogaster;-75.368092;6.541634
Hypopyrrhus pyrohypogaster;-75.569372;6.145689
Hypopyrrhus pyrohypogaster;-75.027042;5.465077
Hypopyrrhus pyrohypogaster;-75.75508;5.65072
Hypopyrrhus pyrohypogaster;-75.502643;6.082356
Hypopyrrhus pyrohypogaster;-75.502428;6.082598
Hypopyrrhus pyrohypogaster;-75.797477;5.583359
Hypopyrrhus pyrohypogaster;-75.16583;5.379792
Hypopyrrhus pyrohypogaster;-75.173217;5.377865
Hypopyrrhus pyrohypogaster;-76.074705;5.79877
Hypopyrrhus pyrohypogaster;-76.074705;5.79877
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
